ds,y,rain
2021-06-22,608,0
2021-06-23,581,0
2021-06-24,594,0
2021-06-25,486,0
2021-06-26,539,0
2021-06-27,531,0
2021-06-28,642,1
2021-06-29,621,0
2021-06-30,650,0
2021-07-01,602,0
2021-07-02,552,1
2021-07-03,540,1
2021-07-04,488,0
2021-07-05,545,0
2021-07-06,677,1
2021-07-07,568,0
2021-07-08,567,0
2021-07-09,494,0
2021-07-10,470,0
2021-07-11,534,1
2021-07-12,587,1
2021-07-13,531,0
2021-07-14,551,0
2021-07-15,583,0
2021-07-16,558,1
2021-07-17,637,1
2021-07-18,582,1
2021-07-19,610,1
2021-07-20,536,0
2021-07-21,591,0
2021-07-22,525,0
2021-07-23,581,1
2021-07-24,546,0
2021-07-25,474,0
2021-07-26,550,0
2021-07-27,532,0
2021-07-28,560,0
2021-07-29,586,0
2021-07-30,469,0
2021-07-31,514,0
2021-08-01,490,0
2021-08-02,489,0
2021-08-03,643,1
2021-08-04,582,0
2021-08-05,543,0
2021-08-06,513,1
2021-08-07,430,0
2021-08-08,533,1
2021-08-09,496,0
2021-08-10,555,0
2021-08-11,550,0
2021-08-12,477,0
2021-08-13,484,0
2021-08-14,463,0
2021-08-15,550,1
2021-08-16,524,0
2021-08-17,634,1
2021-08-18,552,0
2021-08-19,588,1
2021-08-20,416,0
2021-08-21,451,0
2021-08-22,453,0
2021-08-23,493,0
2021-08-24,565,1
2021-08-25,500,0
2021-08-26,536,0
2021-08-27,459,0
2021-08-28,453,0
2021-08-29,523,1
2021-08-30,561,1
2021-08-31,627,1
2021-09-01,512,0
2021-09-02,503,0
2021-09-03,522,1
2021-09-04,416,0
2021-09-05,509,1
2021-09-06,563,1
2021-09-07,581,1
2021-09-08,562,0
2021-09-09,470,0
2021-09-10,528,1
2021-09-11,413,0
2021-09-12,479,0
2021-09-13,480,0
2021-09-14,624,1
2021-09-15,478,0
2021-09-16,503,0
2021-09-17,478,0
2021-09-18,427,0
2021-09-19,546,1
2021-09-20,458,0
2021-09-21,554,0
2021-09-22,671,1
2021-09-23,564,1
2021-09-24,438,0
2021-09-25,548,1
2021-09-26,482,0
2021-09-27,458,0
2021-09-28,580,1
2021-09-29,594,1
2021-09-30,535,1
2021-10-01,505,1
2021-10-02,396,0
2021-10-03,413,0
2021-10-04,554,1
2021-10-05,522,0
2021-10-06,651,1
2021-10-07,548,1
2021-10-08,565,1
2021-10-09,422,0
2021-10-10,438,0
2021-10-11,499,0
2021-10-12,485,0
2021-10-13,540,0
2021-10-14,507,0
2021-10-15,474,0
2021-10-16,442,0
2021-10-17,517,0
2021-10-18,464,0
2021-10-19,507,0
2021-10-20,595,1
2021-10-21,491,0
2021-10-22,446,0
2021-10-23,475,0
2021-10-24,572,1
2021-10-25,472,0
2021-10-26,505,0
2021-10-27,554,0
2021-10-28,498,0
2021-10-29,491,0
2021-10-30,452,0
2021-10-31,411,0
2021-11-01,623,1
2021-11-02,671,1
2021-11-03,530,0
2021-11-04,511,0
2021-11-05,569,1
2021-11-06,464,0
2021-11-07,485,0
2021-11-08,566,0
2021-11-09,541,0
2021-11-10,613,1
2021-11-11,570,1
2021-11-12,468,0
2021-11-13,463,0
2021-11-14,529,0
2021-11-15,500,0
2021-11-16,563,0
2021-11-17,567,0
2021-11-18,657,1
2021-11-19,576,0
2021-11-20,459,0
2021-11-21,551,1
2021-11-22,638,1
2021-11-23,588,0
2021-11-24,634,0
2021-11-25,571,0
2021-11-26,501,0
2021-11-27,504,0
2021-11-28,611,1
2021-11-29,563,0
2021-11-30,594,0
2021-12-01,623,0
2021-12-02,600,0
2021-12-03,645,1
2021-12-04,598,1
2021-12-05,505,0
2021-12-06,555,0
2021-12-07,628,0
2021-12-08,579,0
2021-12-09,589,0
2021-12-10,525,0
2021-12-11,512,0
2021-12-12,561,0
2021-12-13,570,0
2021-12-14,606,0
2021-12-15,576,0
2021-12-16,614,0
2021-12-17,569,0
2021-12-18,670,1
2021-12-19,527,0
2021-12-20,584,0
2021-12-21,626,0
2021-12-22,678,0
2021-12-23,602,0
2021-12-24,572,0
2021-12-25,637,1
2021-12-26,556,0
2021-12-27,578,0
2021-12-28,638,0
2021-12-29,676,0
2021-12-30,588,0
2021-12-31,662,1
2022-01-01,532,0
2022-01-02,680,1
2022-01-03,640,1
2022-01-04,630,0
2022-01-05,669,0
2022-01-06,680,0
2022-01-07,590,0
2022-01-08,550,0
2022-01-09,635,0
2022-01-10,576,0
2022-01-11,594,0
2022-01-12,765,1
2022-01-13,632,0
2022-01-14,655,1
2022-01-15,602,0
2022-01-16,599,0
2022-01-17,616,0
2022-01-18,635,0
2022-01-19,792,1
2022-01-20,760,1
2022-01-21,696,1
2022-01-22,649,0
2022-01-23,573,0
2022-01-24,680,1
2022-01-25,746,1
2022-01-26,777,1
2022-01-27,681,0
2022-01-28,624,0
2022-01-29,697,1
2022-01-30,580,0
2022-01-31,782,1
2022-02-01,777,1
2022-02-02,744,0
2022-02-03,776,1
2022-02-04,738,1
2022-02-05,636,0
2022-02-06,723,1
2022-02-07,690,0
2022-02-08,831,1
2022-02-09,729,0
2022-02-10,798,1
2022-02-11,653,0
2022-02-12,673,0
2022-02-13,701,1
2022-02-14,736,0
2022-02-15,721,0
2022-02-16,770,1
2022-02-17,792,1
2022-02-18,645,0
2022-02-19,665,0
2022-02-20,632,0
2022-02-21,678,0
2022-02-22,675,0
2022-02-23,729,0
2022-02-24,725,1
2022-02-25,708,1
2022-02-26,752,1
2022-02-27,684,0
2022-02-28,713,0
2022-03-01,712,0
2022-03-02,750,0
2022-03-03,726,0
2022-03-04,729,1
2022-03-05,702,0
2022-03-06,694,0
2022-03-07,702,0
2022-03-08,829,1
2022-03-09,765,0
2022-03-10,671,0
2022-03-11,683,0
2022-03-12,724,1
2022-03-13,645,0
2022-03-14,786,1
2022-03-15,888,1
2022-03-16,784,0
2022-03-17,721,0
2022-03-18,793,1
2022-03-19,711,0
2022-03-20,707,0
2022-03-21,801,1
2022-03-22,820,1
2022-03-23,870,1
2022-03-24,835,1
2022-03-25,727,0
2022-03-26,692,0
2022-03-27,795,1
2022-03-28,707,0
2022-03-29,802,0
2022-03-30,858,1
2022-03-31,808,0
2022-04-01,682,0
2022-04-02,728,0
2022-04-03,692,0
2022-04-04,705,0
2022-04-05,750,0
2022-04-06,765,0
2022-04-07,760,0
2022-04-08,800,1
2022-04-09,660,0
2022-04-10,766,1
2022-04-11,790,0
2022-04-12,817,0
2022-04-13,867,1
2022-04-14,748,0
2022-04-15,787,1
2022-04-16,695,0
2022-04-17,735,1
2022-04-18,717,0
2022-04-19,794,1
2022-04-20,785,0
2022-04-21,845,1
2022-04-22,688,0
2022-04-23,722,0
2022-04-24,727,1
2022-04-25,679,0
2022-04-26,768,0
2022-04-27,802,0
2022-04-28,794,0
2022-04-29,685,0
2022-04-30,704,0
2022-05-01,759,1
2022-05-02,714,0
2022-05-03,784,0
2022-05-04,866,1
2022-05-05,772,1
2022-05-06,739,0
2022-05-07,709,0
2022-05-08,657,0
2022-05-09,726,0
2022-05-10,768,0
2022-05-11,769,0
2022-05-12,717,0
2022-05-13,669,0
2022-05-14,741,1
2022-05-15,785,1
2022-05-16,725,0
2022-05-17,735,0
2022-05-18,778,0
2022-05-19,722,1
2022-05-20,717,0
2022-05-21,603,0
2022-05-22,733,1
2022-05-23,748,1
2022-05-24,781,1
2022-05-25,863,1
2022-05-26,706,0
2022-05-27,686,0
2022-05-28,726,1
2022-05-29,750,1
2022-05-30,696,0
2022-05-31,693,0
2022-06-01,770,0
2022-06-02,777,1
2022-06-03,700,1
2022-06-04,626,0
2022-06-05,692,0
2022-06-06,710,0
2022-06-07,792,1
2022-06-08,801,1
2022-06-09,773,1
2022-06-10,720,0
2022-06-11,641,0
2022-06-12,651,0
2022-06-13,707,0
2022-06-14,801,1
2022-06-15,794,1
2022-06-16,767,1
2022-06-17,726,1
2022-06-18,619,0
2022-06-19,730,1
2022-06-20,748,1
2022-06-21,806,1
2022-06-22,709,0
2022-06-23,686,0
2022-06-24,579,0
2022-06-25,718,1
2022-06-26,629,0
2022-06-27,686,0
2022-06-28,607,0
2022-06-29,764,0
2022-06-30,669,0
2022-07-01,662,0
2022-07-02,569,0
2022-07-03,627,0
2022-07-04,694,1
2022-07-05,665,0
2022-07-06,829,1
2022-07-07,657,0
2022-07-08,625,0
2022-07-09,696,1
2022-07-10,613,0
2022-07-11,640,0
2022-07-12,684,0
2022-07-13,834,1
2022-07-14,651,0
2022-07-15,694,1
2022-07-16,611,0
2022-07-17,621,0
2022-07-18,662,0
2022-07-19,683,0
2022-07-20,638,0
2022-07-21,693,0
2022-07-22,564,0
2022-07-23,659,1
2022-07-24,556,0
2022-07-25,615,0
2022-07-26,744,1
2022-07-27,672,0
2022-07-28,647,0
2022-07-29,718,1
2022-07-30,655,1
2022-07-31,562,0
2022-08-01,717,1
2022-08-02,681,0
2022-08-03,617,0
2022-08-04,644,0
2022-08-05,682,1
2022-08-06,544,0
2022-08-07,603,0
2022-08-08,595,0
2022-08-09,641,0
2022-08-10,641,0
2022-08-11,618,0
2022-08-12,541,0
2022-08-13,502,0
2022-08-14,602,0
2022-08-15,567,0
2022-08-16,601,0
2022-08-17,575,0
2022-08-18,672,1
2022-08-19,527,0
2022-08-20,588,0
2022-08-21,578,0
2022-08-22,565,0
2022-08-23,692,0
2022-08-24,663,0
2022-08-25,596,0
2022-08-26,486,0
2022-08-27,602,0
2022-08-28,501,0
2022-08-29,532,0
2022-08-30,650,0
2022-08-31,702,0
2022-09-01,642,0
2022-09-02,574,0
2022-09-03,547,0
2022-09-04,644,1
2022-09-05,600,0
2022-09-06,624,0
2022-09-07,708,1
2022-09-08,676,1
2022-09-09,531,0
2022-09-10,518,0
2022-09-11,565,1
2022-09-12,652,1
2022-09-13,584,0
2022-09-14,590,0
2022-09-15,601,0
2022-09-16,594,0
2022-09-17,552,0
2022-09-18,487,0
2022-09-19,544,0
2022-09-20,721,1
2022-09-21,592,0
2022-09-22,588,0
2022-09-23,648,1
2022-09-24,575,1
2022-09-25,537,0
2022-09-26,533,0
2022-09-27,595,0
2022-09-28,632,0
2022-09-29,548,0
2022-09-30,566,0
2022-10-01,525,0
2022-10-02,552,0
2022-10-03,582,0
2022-10-04,656,0
2022-10-05,628,0
2022-10-06,585,0
2022-10-07,559,0
2022-10-08,625,1
2022-10-09,540,0
2022-10-10,579,0
2022-10-11,677,1
2022-10-12,608,0
2022-10-13,560,0
2022-10-14,611,0
2022-10-15,495,0
2022-10-16,602,1
2022-10-17,561,0
2022-10-18,650,0
2022-10-19,624,0
2022-10-20,644,0
2022-10-21,544,0
2022-10-22,547,0
2022-10-23,524,0
2022-10-24,733,1
2022-10-25,593,0
2022-10-26,649,0
2022-10-27,632,0
2022-10-28,583,0
2022-10-29,540,0
2022-10-30,552,0
2022-10-31,597,0
2022-11-01,632,0
2022-11-02,676,0
2022-11-03,768,1
2022-11-04,562,0
2022-11-05,512,0
2022-11-06,562,0
2022-11-07,762,1
2022-11-08,621,0
2022-11-09,705,0
2022-11-10,761,1
2022-11-11,652,1
2022-11-12,660,1
2022-11-13,623,0
2022-11-14,603,0
2022-11-15,649,0
2022-11-16,729,1
2022-11-17,610,0
2022-11-18,579,0
2022-11-19,536,0
2022-11-20,665,1
2022-11-21,602,0
2022-11-22,673,0
2022-11-23,630,0
2022-11-24,661,0
2022-11-25,635,0
2022-11-26,525,0
2022-11-27,607,0
2022-11-28,673,0
2022-11-29,641,0
2022-11-30,739,0
2022-12-01,676,0
2022-12-02,601,0
2022-12-03,595,0
2022-12-04,625,0
2022-12-05,651,0
2022-12-06,706,0
2022-12-07,754,1
2022-12-08,681,0
2022-12-09,672,1
2022-12-10,606,0
2022-12-11,594,0
2022-12-12,720,1
2022-12-13,740,0
2022-12-14,747,0
2022-12-15,708,0
2022-12-16,615,0
2022-12-17,694,1
2022-12-18,751,1
2022-12-19,760,1
2022-12-20,786,0
2022-12-21,820,1
2022-12-22,789,1
2022-12-23,653,0
2022-12-24,641,0
2022-12-25,724,1
2022-12-26,711,0
2022-12-27,839,1
2022-12-28,719,0
2022-12-29,757,1
2022-12-30,621,0
2022-12-31,666,0
